transect_id;walk_number;method;length_m;eff_time_h;cam_id;habitat_type;n_sightings;n_species_detected;n_carnivores;n_herbivores;n_omnivores;mean_weight_animal_detected;tempmax;tempmin;precip;cloudcover
4;22;walk1;404;0.22;NA;2;0;0;0;0;0;NA;19.5;9.8;0;94.5
4;23;walk1;404;0.38;NA;2;3;2;0;2;0;165;22;9.8;0;22.7
4;24;walk1;404;0.18;NA;2;2;2;0;2;0;80.5;18.7;8.9;0.4;76.6
4;25;walk1;404;0.22;NA;2;1;1;0;1;0;1190;28.5;10.6;0.05;88
5;26;walk1;605;0.17;NA;4;0;0;0;0;0;NA;24.3;5.3;0;0
5;27;walk1;605;0.28;NA;4;3;3;0;3;0;174.5;27.5;5.1;0;0
5;28;walk1;605;0.22;NA;4;1;1;0;1;0;215;19.5;9.8;0;94.5
5;29;walk1;605;0.25;NA;4;2;2;0;2;0;80.5;30.9;11;0;22.2
5;30;walk1;605;0.23;NA;4;1;1;0;1;0;60;28.5;10.6;0.05;88
5;31;walk1;605;0.2;NA;4;0;0;0;0;0;NA;28.5;10.6;0.05;88
5;32;walk1;605;0.18;NA;4;1;1;0;0;1;5.75;24.2;12.9;0;78.7
6;33;walk1;499;0.23;NA;2;0;0;0;0;0;NA;24.3;5.3;0;0
6;34;walk1;499;0.27;NA;2;1;1;0;1;0;97.5;27.5;5.1;0;0
6;35;walk1;499;0.22;NA;2;0;0;0;0;0;NA;22;9.8;0;22.7
6;36;walk1;499;0.28;NA;2;0;0;0;0;0;NA;30.9;11;0;22.2
6;37;walk1;499;0.23;NA;2;0;0;0;0;0;NA;28.5;10.6;0.05;88
6;38;walk1;499;0.3;NA;2;3;2;0;2;0;45.58333333;24.2;12.9;0;78.7
6;39;walk1;499;0.28;NA;2;0;0;0;0;0;NA;24.2;12.9;0;78.7
7;40;walk1;104;0.03;NA;4;1;1;0;1;0;60;27.5;5.1;0;0
7;41;walk1;104;0.02;NA;4;0;0;0;0;0;NA;19.5;9.8;0;94.5
7;42;walk1;104;0.03;NA;4;0;0;0;0;0;NA;24.3;8.4;0;1.8
7;43;walk1;104;0.07;NA;4;0;0;0;0;0;NA;24.4;5.9;0;0
7;44;walk1;104;0.12;NA;4;1;1;0;1;0;101;33.5;10.6;0;0.5
7;47;walk1;104;0.03;NA;4;0;0;0;0;0;NA;24.2;12.9;0;78.7
7;46;walk1;104;0.05;NA;4;0;0;0;0;0;NA;24.2;12.9;0;78.7
7;45;walk1;104;0.05;NA;4;1;1;0;1;0;248.5;28.5;10.6;0.05;88
8;48;walk1;104;0.03;NA;2;0;0;0;0;0;NA;27.5;5.1;0;0
8;49;walk1;104;0.05;NA;2;0;0;0;0;0;NA;19.5;9.8;0;94.5
8;50;walk1;104;0.05;NA;2;0;0;0;0;0;NA;24.3;8.4;0;1.8
8;51;walk1;104;0.08;NA;2;2;2;0;1;1;32.875;28.5;10.6;0.05;88
8;52;walk1;104;0.03;NA;2;0;0;0;0;0;NA;24.2;12.9;0;78.7
8;53;walk1;104;0.02;NA;2;0;0;0;0;0;NA;24.2;12.9;0;78.7
1;54;walk2;2878;1.53;NA;1;4;4;0;3;1;84.375;28.1;13.9;0;34.2
1;55;walk2;2878;2.07;NA;1;11;6;0;5;1;125.8409091;35.3;13.8;0.07;79.4
1;56;walk2;2878;1.42;NA;1;3;2;0;2;0;139.8333333;21;8.6;0.23;47.9
1;57;walk2;2878;1.87;NA;1;14;8;0;7;1;116.9464286;37.4;17.6;0;0
1;58;walk2;2878;1.27;NA;1;7;3;0;2;1;67;22.9;10.2;0.2;40
1;59;walk2;2878;1.41;NA;1;2;2;0;1;1;110.375;26;13.7;0.22;30.3
1;60;walk2;2878;1.27;NA;1;4;4;0;3;1;78.125;18.3;11.5;2.05;100
1;61;walk2;2878;0.47;NA;1;7;5;0;5;0;112.3214286;30.2;12.7;0;17.9
1;62;walk2;2878;1.41;NA;1;3;2;0;2;0;158;29.1;17.1;0.7;70.6
1;63;walk2;2878;1.41;NA;1;3;3;0;3;0;125.3333333;18.8;10.4;0.76;86.5
1;64;walk2;2878;1.41;NA;1;11;7;0;6;1;85.47727273;32.4;7.7;0;0
10;65;walk2;1238;1.08;NA;1;5;3;0;3;0;118.6;28.1;13.9;0;34.2
10;66;walk2;1238;0.78;NA;1;3;3;0;2;1;55.58333333;35.3;13.8;0.07;79.4
10;67;walk2;1238;0.65;NA;1;4;3;0;3;0;147.75;33.2;10;0;13.7
10;68;walk2;1238;0.7;NA;1;5;3;0;3;0;147.1;14.7;7.2;0.09;100
10;69;walk2;1238;0.67;NA;1;2;2;0;2;0;645.5;30.7;7.1;0;0
10;70;walk2;1238;0.57;NA;1;1;1;0;1;0;217.5;31.5;15.3;1.86;54.6
10;71;walk2;1238;0.77;NA;1;6;5;0;5;0;122.125;23.9;16.6;0;87.6
10;72;walk2;1238;0.75;NA;1;5;4;0;4;0;333.9;23.8;12.4;0;23.3
10;73;walk2;1238;0.75;NA;1;2;2;0;2;0;58.875;18.8;10.4;0.76;86.5
11;74;walk2;115;0.1;NA;4;2;2;0;1;1;32.875;30.1;15.5;0.07;92.2
11;75;walk2;115;0.05;NA;4;0;0;0;0;0;NA;30.1;15.5;0.07;92.2
11;76;walk2;115;0.08;NA;4;1;1;0;1;0;217.5;26;6.1;0.05;0
11;77;walk2;115;0.03;NA;4;0;0;0;0;0;NA;22.9;10.2;0.2;40
11;78;walk2;115;0.03;NA;4;0;0;0;0;0;NA;20.1;6.7;0;30.9
11;79;walk2;115;0.08;NA;4;3;3;0;3;0;540.8333333;22.6;11.3;1.5;54.8
11;80;walk2;115;0.03;NA;4;0;0;0;0;0;NA;22.6;11.3;1.5;54.8
11;81;walk2;115;0.05;NA;4;0;0;0;0;0;NA;32.4;16.3;0.07;46.8
11;82;walk2;115;0.06;NA;4;0;0;0;0;0;NA;23.8;12.4;0;23.3
11;83;walk2;115;0.06;NA;4;0;0;0;0;0;NA;21.3;10.7;0;56.4
11;84;walk2;115;0.06;NA;4;0;0;0;0;0;NA;37;13.2;0;11.8
12;85;walk2;1098;0.52;NA;4;2;2;0;2;0;137.5;30.1;15.5;0.07;92.2
12;86;walk2;1098;0.53;NA;4;2;2;0;2;0;138.75;26;6.1;0.05;0
12;87;walk2;1098;0.37;NA;4;2;2;0;2;0;137.5;22.9;10.2;0.2;40
12;88;walk2;1098;0.38;NA;4;4;4;0;4;1;132.9375;20.1;6.7;0;30.9
12;90;walk2;1098;0.43;NA;4;6;4;0;4;0;702.5;22.6;11.3;1.5;54.8
12;89;walk2;1098;0.42;NA;4;2;2;0;2;0;147.5;22.6;11.3;1.5;54.8
12;92;walk2;1098;0.45;NA;4;4;4;0;3;1;80.5;23.8;12.4;0;23.3
12;93;walk2;1098;0.45;NA;4;1;1;0;1;0;171.6875;21.3;10.7;0;56.4
12;91;walk2;1098;0.5;NA;4;2;2;0;2;0;60;32.4;16.3;0.07;46.8
12;94;walk2;1098;0.45;NA;4;2;2;0;2;0;216.25;37;13.2;0;11.8
13;95;walk2;870;0.42;NA;3;0;0;0;0;0;NA;30.1;15.5;0.07;92.2
13;96;walk2;870;0.37;NA;3;1;1;0;0;1;5.75;21;8.6;0.23;47.9
13;97;walk2;870;0.37;NA;3;0;0;0;0;0;NA;22.9;10.2;0.2;40
13;98;walk2;870;0.38;NA;3;0;0;0;0;0;NA;20.1;6.7;0;30.9
13;99;walk2;870;0.33;NA;3;0;0;0;0;0;NA;22.6;11.3;1.5;54.8
13;100;walk2;870;0.32;NA;3;0;0;0;0;0;NA;22.6;11.3;1.5;54.8
13;101;walk2;870;0.4;NA;3;0;0;0;0;0;NA;32.4;16.3;0.07;46.8
13;102;walk2;870;0.42;NA;3;1;1;0;0;0;101;23.8;12.4;0;23.3
13;103;walk2;870;0.42;NA;3;0;0;0;0;0;NA;21.3;10.7;0;56.4
13;104;walk2;870;0.42;NA;3;0;0;0;0;0;NA;37;13.2;0;11.8
1;105;cam;2778;693.6;1;1;52;6;0;5;1;120.0784314;25.65;9.84;0.2;35.6
1;106;cam;2778;612.68;2;1;98;8;0;7;1;119.3738318;25.65;9.84;0.2;35.6
1;107;cam;2778;693.6;3;1;78;7;1;5;1;86.43987342;25.65;9.84;0.2;35.6
1;108;cam;2778;693.6;4;1;191;9;1;7;1;108.4306283;25.65;9.84;0.2;35.6
1;109;cam;2778;693.6;5;1;195;9;1;7;1;83.20897436;25.65;9.84;0.2;35.6
1;110;cam;2778;693.6;6;1;73;6;1;5;0;88.22916667;25.65;9.84;0.2;35.6
1;111;cam;2778;693.6;7;1;53;8;0;7;1;117;25.65;9.84;0.2;35.6
1;112;cam;2778;693.6;8;1;55;8;0;7;1;134.85;25.65;9.84;0.2;35.6
2;113;cam;323;231.2;9;1;11;4;0;4;0;213.7272727;23.94;7.65;0.05;32.38
2;114;cam;323;231.2;10;1;19;5;0;5;0;235.8684211;23.94;7.65;0.05;32.38
3;115;cam;377;231.2;11;2;60;9;1;7;1;262.1666667;23.94;7.65;0.05;32.38
3;116;cam;377;231.2;12;2;61;9;0;8;1;165.3155738;23.94;7.65;0.05;32.38
4;117;cam;303;312.12;13;2;66;8;0;7;1;130.6477273;24.5;7.99;0.1;30.39
4;118;cam;303;312.12;14;2;53;8;0;7;1;155.2688679;24.5;7.99;0.1;30.39
5;119;cam;505;312.12;15;4;39;9;1;8;0;261.8782051;24.5;7.99;0.1;30.39
5;120;cam;505;312.12;16;4;39;6;1;4;1;95.5;24.5;7.99;0.1;30.39
6;121;cam;399;312.12;17;2;36;5;0;4;1;72.69444444;24.5;7.99;0.1;30.39
6;122;cam;399;312.12;18;2;37;4;0;4;0;84.71621622;24.5;7.99;0.1;30.39
7;123;cam;0;312.12;19;4;43;8;1;7;0;125.4825581;24.5;7.99;0.1;30.39
8;124;cam;8;312.12;20;2;57;7;1;5;1;122.4122807;24.5;7.99;0.1;30.39
10;125;cam;1138;462.4;9b;1;106;11;0;9;2;176.7169811;26.73;10.72;0.27;35.96
10;126;cam;1138;462.4;10b;1;110;9;2;8;0;244.1477273;26.73;10.72;0.27;35.96
10;127;cam;1138;462.4;11b;1;112;11;1;9;1;251.8035714;26.73;10.72;0.27;35.96
10;128;cam;1138;462.4;12b;1;52;7;0;6;1;142.2740385;26.73;10.72;0.27;35.96
11;129;cam;0;358.36;13b;4;39;7;0;6;1;189.2564103;27.4;11.56;0.3;40.68
12;130;cam;998;358.36;14b;4;48;5;0;4;1;99.53645833;27.4;11.56;0.3;40.68
12;131;cam;998;358.36;15b;4;37;7;1;5;1;108.3108108;27.4;11.56;0.3;40.68
12;132;cam;998;358.36;16b;4;70;12;2;8;2;129.7592857;27.4;11.56;0.3;40.68
12;133;cam;998;358.36;17b;4;52;8;1;7;0;116.0288462;27.4;11.56;0.3;40.68
13;134;cam;320;358.36;18b;3;12;6;1;4;1;103.4375;27.4;11.56;0.3;40.68
13;135;cam;320;358.36;19b;3;13;2;0;1;1;76.33333333;27.4;11.56;0.3;40.68
